"siteID","sampleID","num_taxa","num_ind","elevation","collectDate","habitatType","benthicArea","invert_density_m2","day","interval_30day","temp_avg_30day","temp_daily_avg","temp_daily_min","temp_daily_max"
"CARI","CARI.20210701.KICKNET.1",31,184,224.9,2021-07-01 19:27:00,"run",0.25,736,2021-07-01,2021-06-01 UTC--2021-07-01 UTC,4.39888812471343,5.81297849462366,3.446,8.42
"CARI","CARI.20210701.KICKNET.2",2,2,224.9,2021-07-01 19:27:00,"run",0.25,8,2021-07-01,2021-06-01 UTC--2021-07-01 UTC,4.39888812471343,5.81297849462366,3.446,8.42
"CARI","CARI.20210701.KICKNET.3",25,229,224.9,2021-07-01 19:27:00,"run",0.25,916,2021-07-01,2021-06-01 UTC--2021-07-01 UTC,4.39888812471343,5.81297849462366,3.446,8.42
"CARI","CARI.20210701.KICKNET.4",40,313,224.9,2021-07-01 19:27:00,"run",0.25,1252,2021-07-01,2021-06-01 UTC--2021-07-01 UTC,4.39888812471343,5.81297849462366,3.446,8.42
"CARI","CARI.20210701.KICKNET.5",31,455,224.9,2021-07-01 19:27:00,"run",0.25,1820,2021-07-01,2021-06-01 UTC--2021-07-01 UTC,4.39888812471343,5.81297849462366,3.446,8.42
"CARI","CARI.20210701.SURBER.1",35,982,224.9,2021-07-01 19:27:00,"riffle",0.093,10559.1397849462,2021-07-01,2021-06-01 UTC--2021-07-01 UTC,4.39888812471343,5.81297849462366,3.446,8.42
"CARI","CARI.20210701.SURBER.2",29,399,224.9,2021-07-01 19:27:00,"riffle",0.093,4290.32258064516,2021-07-01,2021-06-01 UTC--2021-07-01 UTC,4.39888812471343,5.81297849462366,3.446,8.42
"CARI","CARI.20210701.SURBER.3",32,355,224.9,2021-07-01 19:27:00,"riffle",0.093,3817.20430107527,2021-07-01,2021-06-01 UTC--2021-07-01 UTC,4.39888812471343,5.81297849462366,3.446,8.42
"CARI","CARI.20210826.KICKNET.1",22,50,224.9,2021-08-26 20:56:00,"run",0.25,200,2021-08-26,2021-07-27 UTC--2021-08-26 UTC,4.96384768907563,4.29264583333333,3.359,5.41
"CARI","CARI.20210826.KICKNET.2",20,44,224.9,2021-08-26 20:56:00,"run",0.25,176,2021-08-26,2021-07-27 UTC--2021-08-26 UTC,4.96384768907563,4.29264583333333,3.359,5.41
"CARI","CARI.20210826.KICKNET.3",19,89,224.9,2021-08-26 20:56:00,"run",0.25,356,2021-08-26,2021-07-27 UTC--2021-08-26 UTC,4.96384768907563,4.29264583333333,3.359,5.41
"CARI","CARI.20210826.KICKNET.4",31,178,224.9,2021-08-26 20:56:00,"run",0.25,712,2021-08-26,2021-07-27 UTC--2021-08-26 UTC,4.96384768907563,4.29264583333333,3.359,5.41
"CARI","CARI.20210826.KICKNET.5",35,179,224.9,2021-08-26 20:56:00,"run",0.25,716,2021-08-26,2021-07-27 UTC--2021-08-26 UTC,4.96384768907563,4.29264583333333,3.359,5.41
"CARI","CARI.20210826.SURBER.1",23,109,224.9,2021-08-26 20:56:00,"riffle",0.093,1172.04301075269,2021-08-26,2021-07-27 UTC--2021-08-26 UTC,4.96384768907563,4.29264583333333,3.359,5.41
"CARI","CARI.20210826.SURBER.2",28,96,224.9,2021-08-26 20:56:00,"riffle",0.093,1032.25806451613,2021-08-26,2021-07-27 UTC--2021-08-26 UTC,4.96384768907563,4.29264583333333,3.359,5.41
"CARI","CARI.20210826.SURBER.3",25,116,224.9,2021-08-26 20:56:00,"riffle",0.093,1247.31182795699,2021-08-26,2021-07-27 UTC--2021-08-26 UTC,4.96384768907563,4.29264583333333,3.359,5.41
"MART","MART.20210728.HESS.6",57,257,337,2021-07-28 17:33:00,"pool",0.086,2988.37209302326,2021-07-28,2021-06-28 UTC--2021-07-28 UTC,15.2866726212176,15.5897916666667,14.279,19.3
"MART","MART.20210728.HESS.7",54,538,337,2021-07-28 17:33:00,"pool",0.086,6255.81395348837,2021-07-28,2021-06-28 UTC--2021-07-28 UTC,15.2866726212176,15.5897916666667,14.279,19.3
"MART","MART.20210728.HESS.8",45,218,337,2021-07-28 17:33:00,"pool",0.086,2534.88372093023,2021-07-28,2021-06-28 UTC--2021-07-28 UTC,15.2866726212176,15.5897916666667,14.279,19.3
"MART","MART.20210728.SURBER.1",37,2860,337,2021-07-28 17:33:00,"riffle",0.093,30752.688172043,2021-07-28,2021-06-28 UTC--2021-07-28 UTC,15.2866726212176,15.5897916666667,14.279,19.3
"MART","MART.20210728.SURBER.2",27,347,337,2021-07-28 17:33:00,"riffle",0.093,3731.18279569892,2021-07-28,2021-06-28 UTC--2021-07-28 UTC,15.2866726212176,15.5897916666667,14.279,19.3
"MART","MART.20210728.SURBER.3",53,670,337,2021-07-28 17:33:00,"riffle",0.093,7204.30107526882,2021-07-28,2021-06-28 UTC--2021-07-28 UTC,15.2866726212176,15.5897916666667,14.279,19.3
"MART","MART.20210728.SURBER.4",44,1366,337,2021-07-28 17:33:00,"riffle",0.093,14688.1720430108,2021-07-28,2021-06-28 UTC--2021-07-28 UTC,15.2866726212176,15.5897916666667,14.279,19.3
"MART","MART.20210728.SURBER.5",29,86,337,2021-07-28 17:33:00,"riffle",0.093,924.731182795699,2021-07-28,2021-06-28 UTC--2021-07-28 UTC,15.2866726212176,15.5897916666667,14.279,19.3
"MART","MART.20210927.HESS.1",26,101,337,2021-09-27 18:01:00,"pool",0.086,1174.41860465116,2021-09-27,2021-08-28 UTC--2021-09-27 UTC,12.8399257020974,12.4125161290323,12.124,13.116
"MART","MART.20210927.HESS.2",32,144,337,2021-09-27 18:01:00,"run",0.086,1674.41860465116,2021-09-27,2021-08-28 UTC--2021-09-27 UTC,12.8399257020974,12.4125161290323,12.124,13.116
"MART","MART.20210927.HESS.3",44,161,337,2021-09-27 18:01:00,"pool",0.086,1872.09302325581,2021-09-27,2021-08-28 UTC--2021-09-27 UTC,12.8399257020974,12.4125161290323,12.124,13.116
"MART","MART.20210927.SURBER.1",45,602,337,2021-09-27 18:01:00,"riffle",0.093,6473.11827956989,2021-09-27,2021-08-28 UTC--2021-09-27 UTC,12.8399257020974,12.4125161290323,12.124,13.116
"MART","MART.20210927.SURBER.2",36,376,337,2021-09-27 18:01:00,"riffle",0.093,4043.01075268817,2021-09-27,2021-08-28 UTC--2021-09-27 UTC,12.8399257020974,12.4125161290323,12.124,13.116
"MART","MART.20210927.SURBER.3",42,433,337,2021-09-27 18:01:00,"riffle",0.093,4655.91397849462,2021-09-27,2021-08-28 UTC--2021-09-27 UTC,12.8399257020974,12.4125161290323,12.124,13.116
"MART","MART.20210927.SURBER.4",53,836,337,2021-09-27 18:01:00,"riffle",0.093,8989.24731182796,2021-09-27,2021-08-28 UTC--2021-09-27 UTC,12.8399257020974,12.4125161290323,12.124,13.116
"MART","MART.20210927.SURBER.5",46,809,337,2021-09-27 18:01:00,"riffle",0.093,8698.92473118279,2021-09-27,2021-08-28 UTC--2021-09-27 UTC,12.8399257020974,12.4125161290323,12.124,13.116
"TECR","TECR.20210727.SURBER.1",65,2223,2011,2021-07-27 15:41:00,"riffle",0.093,23903.2258064516,2021-07-27,2021-06-27 UTC--2021-07-27 UTC,14.7329432393348,14.7378229166667,13.271,16.709
"TECR","TECR.20210727.SURBER.2",75,2400,2011,2021-07-27 15:41:00,"riffle",0.093,25806.4516129032,2021-07-27,2021-06-27 UTC--2021-07-27 UTC,14.7329432393348,14.7378229166667,13.271,16.709
"TECR","TECR.20210727.SURBER.3",72,8008,2011,2021-07-27 15:41:00,"riffle",0.093,86107.5268817204,2021-07-27,2021-06-27 UTC--2021-07-27 UTC,14.7329432393348,14.7378229166667,13.271,16.709
"TECR","TECR.20210727.SURBER.4",59,7512,2011,2021-07-27 15:41:00,"riffle",0.093,80774.1935483871,2021-07-27,2021-06-27 UTC--2021-07-27 UTC,14.7329432393348,14.7378229166667,13.271,16.709
"TECR","TECR.20210727.SURBER.5",72,9004,2011,2021-07-27 15:41:00,"riffle",0.093,96817.2043010753,2021-07-27,2021-06-27 UTC--2021-07-27 UTC,14.7329432393348,14.7378229166667,13.271,16.709
"TECR","TECR.20210727.SURBER.6",58,7285,2011,2021-07-27 15:41:00,"riffle",0.093,78333.3333333333,2021-07-27,2021-06-27 UTC--2021-07-27 UTC,14.7329432393348,14.7378229166667,13.271,16.709
"TECR","TECR.20210727.SURBER.7",44,3596,2011,2021-07-27 15:41:00,"riffle",0.093,38666.6666666667,2021-07-27,2021-06-27 UTC--2021-07-27 UTC,14.7329432393348,14.7378229166667,13.271,16.709
"TECR","TECR.20210727.SURBER.8",49,7200,2011,2021-07-27 15:41:00,"riffle",0.093,77419.3548387097,2021-07-27,2021-06-27 UTC--2021-07-27 UTC,14.7329432393348,14.7378229166667,13.271,16.709
"TECR","TECR.20210915.SURBER.1",65,3127,2011,2021-09-15 17:29:00,"riffle",0.093,33623.6559139785,2021-09-15,2021-08-16 UTC--2021-09-15 UTC,12.5848300510576,11.57521875,10.029,12.907
"TECR","TECR.20210915.SURBER.2",55,3044,2011,2021-09-15 17:29:00,"riffle",0.093,32731.1827956989,2021-09-15,2021-08-16 UTC--2021-09-15 UTC,12.5848300510576,11.57521875,10.029,12.907
"TECR","TECR.20210915.SURBER.3",58,539,2011,2021-09-15 17:29:00,"riffle",0.093,5795.69892473118,2021-09-15,2021-08-16 UTC--2021-09-15 UTC,12.5848300510576,11.57521875,10.029,12.907
"TECR","TECR.20210915.SURBER.4",62,1906,2011,2021-09-15 17:29:00,"riffle",0.093,20494.623655914,2021-09-15,2021-08-16 UTC--2021-09-15 UTC,12.5848300510576,11.57521875,10.029,12.907
"TECR","TECR.20210915.SURBER.5",54,603,2011,2021-09-15 17:29:00,"riffle",0.093,6483.87096774194,2021-09-15,2021-08-16 UTC--2021-09-15 UTC,12.5848300510576,11.57521875,10.029,12.907
"TECR","TECR.20210915.SURBER.6",40,2317,2011,2021-09-15 17:29:00,"riffle",0.093,24913.9784946237,2021-09-15,2021-08-16 UTC--2021-09-15 UTC,12.5848300510576,11.57521875,10.029,12.907
"TECR","TECR.20210915.SURBER.7",50,1147,2011,2021-09-15 17:29:00,"riffle",0.093,12333.3333333333,2021-09-15,2021-08-16 UTC--2021-09-15 UTC,12.5848300510576,11.57521875,10.029,12.907
"TECR","TECR.20210915.SURBER.8",48,1878,2011,2021-09-15 17:29:00,"riffle",0.093,20193.5483870968,2021-09-15,2021-08-16 UTC--2021-09-15 UTC,12.5848300510576,11.57521875,10.029,12.907
